Rubric ID,Category,Criterion,Points,Passing Standard,Required Evidence,Common Deductions / Fail Conditions
RT-01,Red Team Charter,"Clear engagement overview (targets, duration, boundaries)",2,Overview complete and specific (CNN + RAG + timeframe + boundaries).,Charter Overview section,Missing targets or vague boundaries (-1 to -2)
RT-02,Red Team Charter,Objectives aligned to risk,5,Objectives describe risks modeled.,Charter Objectives section,Purely technical steps without risk framing (-3 to -5)
RT-03,Red Team Charter,Threat model defined (attacker knowledge & constraints),5,States what attacker knows and does not know.,Threat Model section,Missing attacker assumptions (-3 to -5)
RT-04,Red Team Charter,Rules of Engagement (ethics & safety),3,"Prohibits real confidential data, DoS, infra modification.",Rules of Engagement section,Missing RoE (-2 to -3)
RT-05,Red Team Charter,Measurable success criteria per attack,3,Defines measurable criteria for all four attacks.,Success Criteria table,Missing attack criteria (-2 to -3)
RT-06,Red Team Charter,Impact assessment + severity reasoning,2,Business impact + severity discussed.,Impact section,No business framing (-1 to -2)
CNN-01,CNN Implementation,Custom CNN used (no pretrained),5,Model trained from scratch.,model.py + logs,FAIL if pretrained weights used
CNN-02,CNN Implementation,Training runs successfully,5,Training completes without errors.,Training logs,Runtime errors (-2 to -5)
CNN-03,CNN Implementation,Clean checkpoint saved,5,Checkpoint exists and loads.,receipt_cnn_clean.pt,Missing checkpoint (-3 to -5)
FGSM-01,FGSM Evasion,Correct FGSM implementation,5,Uses gradient sign method properly.,attacks_fgsm.py,Incorrect implementation (-3 to -5)
FGSM-02,FGSM Evasion,Clean vs adversarial predictions shown,5,Shows both predictions + probabilities.,Console output,Missing outputs (-2 to -5)
FGSM-03,FGSM Evasion,Adversarial artifact saved,2,Adversarial image saved.,adv.png,Missing artifact (-2)
FGSM-04,FGSM Evasion,Explanation of gradient fragility,3,Explains decision boundary impact.,Writeup,Generic explanation (-1 to -3)
POIS-01,Label-Flipping Poisoning,Flip rate ≤ 5%,5,Flip rate documented and ≤0.05.,poison_manifest.json,Flip rate >5% (-3)
POIS-02,Label-Flipping Poisoning,Poisoned dataset generated correctly,5,Labels flipped correctly.,Dataset structure,Incorrect structure (-3 to -5)
POIS-03,Label-Flipping Poisoning,Poisoned retraining successful,5,Poisoned checkpoint saved.,receipt_cnn_poisoned.pt,Missing checkpoint (-3 to -5)
POIS-04,Label-Flipping Poisoning,Clean vs poisoned comparison table,3,Comparison table included.,Poison results doc,Missing table (-2 to -3)
POIS-05,Label-Flipping Poisoning,Analysis of impact + detection,2,Explains degradation + detection ideas.,Discussion section,No analysis (-1 to -2)
INJ-01,Prompt Injection,Connected to real LLM (no stub),5,API call implemented.,app.py + transcript,FAIL if stub used
INJ-02,Prompt Injection,Real injection transcript included,10,Verbatim LLM response included.,Transcript file,Missing transcript (-6 to -10)
INJ-03,Prompt Injection,Injection clearly attempts override,3,Prompt attempts to override policy.,Transcript,Weak injection (-1 to -3)
INJ-04,Prompt Injection,Retrieval evidence shown,2,Retrieved docs listed.,Transcript JSON,Missing retrieval info (-1 to -2)
INJ-05,Prompt Injection,Instruction hierarchy analysis,5,Explains system vs user instruction failure.,Analysis section,No hierarchy reasoning (-2 to -5)
EXFIL-01,RAG Data Exfiltration,Confidential doc exists in KB,5,Confidential doc indexed.,Policy file + manifest,Missing doc (-5)
EXFIL-02,RAG Data Exfiltration,Exfil attempt evidence provided,5,Prompt + output shown.,Transcript section,Missing evidence (-2 to -5)
EXFIL-03,RAG Data Exfiltration,Outcome + risk explained,2,Explains if data leaked and why.,Writeup,No conclusion (-1 to -2)
EXFIL-04,RAG Data Exfiltration,Mitigations (≥3) layered,3,At least 3 concrete mitigations.,Defense section,Fewer than 3 (-1 to -3)
DA-01,Defensive Architecture,CNN defenses with tradeoffs,3,Two defenses + tradeoffs.,Defense section,No tradeoffs (-1 to -3)
DA-02,Defensive Architecture,Poisoning defenses with pipeline placement,3,Two controls mapped to pipeline.,Defense section,No pipeline placement (-1 to -3)
DA-03,Defensive Architecture,RAG mitigations including access control,4,Three+ mitigations including access control.,Defense section,No access control (-2 to -4)
TRIVY-01,Trivy Scan,Real Trivy JSON included,5,Scan JSON present and valid.,06_trivy_report.json,FAIL if placeholder used
TOTAL,,Total Points,120,Passing threshold determined by program.,,
